top - 14:00:41 up 43 min,  1 user,  load average: 0.74, 0.68, 0.64
Tasks: 303 total,   2 running, 284 sleeping,   0 stopped,  17 zombie
%Cpu(s):  7.0 us,  2.3 sy,  0.0 ni, 89.9 id,  0.0 wa,  0.0 hi,  0.8 si,  0.0 st
MiB Mem :  15733.1 total,   8632.4 free,   2789.9 used,   4310.8 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.  11764.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     34 root      20   0       0      0      0 S   0.0   0.0   0:00.06 ksoftir+
     33 root      rt   0       0      0      0 S   0.0   0.0   0:00.11 migrati+
     32 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     31 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     28 root      20   0       0      0      0 S   0.0   0.0   0:00.05 ksoftir+
     27 root      rt   0       0      0      0 S   0.0   0.0   0:00.11 migrati+
     26 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     24 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     22 root      20   0       0      0      0 S   0.0   0.0   0:00.07 ksoftir+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.10 migrati+
     20 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     15 root      rt   0       0      0      0 S   0.0   0.0   0:00.01 migrati+
